Time (kyr BP),Sea level (m),T_NH(deg C),T_dw (deg C),delta_w,delta_T
-40000,70.0,27.256,4.031,-1.187,2.382
-39500,70.0,26.096,3.916,-1.187,2.414
-39000,70.0,22.821,3.423,-1.187,2.552
-38500,64.658,20.893,3.137,-1.131,2.632
-38000,62.832,20.615,3.096,-1.111,2.643
-37500,63.754,21.009,3.155,-1.121,2.627
-37000,57.22,19.798,2.965,-1.05,2.68
-36500,56.01,20.069,2.998,-1.037,2.67
-36000,47.056,16.044,2.435,-0.925,2.828
-35500,51.265,19.205,2.875,-0.983,2.705
-35000,57.138,19.072,2.858,-1.047,2.709
-34500,50.274,19.847,2.926,-0.975,2.691
-34000,53.201,17.875,2.7,-1.001,2.754
-33500,20.182,13.333,2.031,-0.594,2.942
-33000,24.689,15.353,2.254,-0.66,2.879
-32500,27.275,14.795,2.144,-0.684,2.91
-32000,27.089,14.513,2.276,-0.68,2.872
-31500,29.96,15.524,2.414,-0.725,2.834
-31000,24.096,15.851,2.402,-0.657,2.837
-30500,16.286,13.446,1.975,-0.54,2.957
-30000,29.627,15.452,2.261,-0.717,2.877
-29500,18.378,13.338,2.009,-0.564,2.947
-29000,15.751,13.975,2.035,-0.541,2.94
-28500,16.486,12.494,2.089,-0.537,2.925
-28000,26.832,14.549,2.163,-0.676,2.904
-27500,16.905,12.887,1.994,-0.547,2.952
-27000,23.886,14.009,2.108,-0.64,2.92
-26500,23.261,15.091,2.22,-0.641,2.889
-26000,37.336,16.638,2.519,-0.816,2.804
-25500,40.575,17.234,2.566,-0.857,2.791
-25000,44.639,19.048,2.785,-0.911,2.73
-24500,49.261,16.569,2.567,-0.954,2.791
-24000,45.679,15.958,2.51,-0.906,2.808
-23500,32.848,15.996,2.409,-0.761,2.835
-23000,10.879,12.123,1.855,-0.461,2.99
-22500,36.882,17.329,2.49,-0.81,2.813
-22000,48.199,16.136,2.491,-0.939,2.812
-21500,44.194,17.602,2.603,-0.897,2.781
-21000,23.482,15.255,2.267,-0.645,2.875
-20500,41.54,16.505,2.521,-0.861,2.804
-20000,37.555,16.699,2.47,-0.82,2.819
-19500,29.071,14.181,2.139,-0.697,2.911
-19000,18.243,15.172,2.23,-0.582,2.886
-18500,32.318,16.02,2.399,-0.754,2.839
-18000,24.128,13.92,2.114,-0.638,2.918
-17500,20.135,13.81,2.131,-0.594,2.913
-17000,31.909,15.759,2.403,-0.75,2.838
-16500,49.726,18.459,2.766,-0.964,2.736
-16000,34.776,17.172,2.48,-0.786,2.815
-15500,54.036,19.282,2.877,-1.014,2.704
-15000,61.144,21.082,3.135,-1.095,2.632
-14500,44.564,17.854,2.691,-0.904,2.756
-14000,44.043,17.792,2.664,-0.895,2.764
-13500,23.782,13.33,2.007,-0.637,2.948
-13000,15.005,13.835,1.921,-0.528,2.972
-12500,13.205,13.707,2.054,-0.507,2.935
-12000,19.709,14.48,2.181,-0.594,2.899
-11500,10.174,7.659,1.151,-0.432,3.188
-11000,11.477,11.579,1.737,-0.466,3.023
-10500,12.483,10.5,1.579,-0.472,3.067
-10000,11.924,9.678,1.431,-0.462,3.109
-9500,11.85,8.785,1.354,-0.454,3.131
-9000,11.379,9.415,1.414,-0.456,3.114
-8500,7.184,6.599,0.999,-0.394,3.23
-8000,10.635,8.266,1.236,-0.441,3.163
-7500,9.193,8.883,1.325,-0.433,3.139
-7000,9.897,8.828,1.325,-0.44,3.139
-6500,6.529,7.044,1.048,-0.389,3.216
-6000,5.454,3.723,0.593,-0.351,3.344
-5500,6.068,3.352,0.546,-0.352,3.357
-5000,8.564,6.172,1.014,-0.405,3.226
-4500,5.837,4.12,0.615,-0.358,3.338
-4000,-3.845,-1.58,-0.206,-0.232,3.567
-3500,5.355,4.861,0.714,-0.36,3.31
-3000,-4.014,-0.213,-0.099,-0.256,3.538
-2500,-30.799,-7.326,-1.047,-0.018,3.803
-2000,-25.985,-5.043,-0.79,-0.073,3.731
-1500,-60.584,-10.637,-1.681,0.189,3.981
-1000,-33.109,-6.34,-1.015,0.036,3.795
-500,-34.731,-6.47,-1.058,0.052,3.806
