Time (Myr BP),delta_18O (0/00),Time_mean (Myr BP),delta_18O_mean (0/00),Tdo,Ts,SL,epoch
0.0,3.28,,,,,,Holocene
0.5,3.79,0.4997,3.874,0.08,12.42,-45.4,Pleistocene
1.0,4.01,0.9996,3.778,0.23,12.7,-38.4,Pleistocene
1.5,4.22,1.4997,4.238,-0.45,11.35,-71.8,Pleistocene
2.0,3.72,2.0006,3.75,0.27,12.82,-36.4,Pleistocene
2.5,3.37,2.5003,3.74,0.28,12.85,-35.6,Pleistocene
3.0,3.12,2.9994,3.258,0.99,14.62,-0.6,Pliocene
3.5,3.08,3.4988,2.946,1.81,16.68,12.2,Pliocene
4.0,3.49,3.9992,3.382,0.81,14.17,-9.6,Pliocene
4.5,2.93,4.5,3.042,1.55,16.04,8.3,Pliocene
5.0,2.35,5.0004,2.7,2.47,18.32,22.0,Pliocene
5.5,2.91,5.5,3.068,1.49,16.64,7.3,Miocene
6.0,2.67,6.0,2.924,1.87,17.02,13.0,Miocene
6.501,3.03,6.5023,2.892,1.95,17.1,14.3,Miocene
7.002,2.53,7.0004,2.748,2.34,17.49,20.1,Miocene
7.4927,2.65,7.502,2.824,2.14,17.29,17.0,Miocene
8.011,2.63,7.9813,2.728,2.39,17.54,20.9,Miocene
8.4941,2.79,8.5098,2.828,2.13,17.28,16.9,Miocene
8.999,2.71,8.9988,2.662,2.57,17.72,23.5,Miocene
9.5,2.81,9.5013,2.754,2.32,17.47,19.8,Miocene
10.006,2.57,10.0027,2.682,2.51,17.66,22.7,Miocene
10.5276,2.89,10.5127,2.66,2.57,17.72,23.6,Miocene
10.999,2.74,10.997,2.586,2.77,17.92,26.6,Miocene
11.497,3.46,11.4971,2.83,2.12,17.27,16.8,Miocene
12.0,2.27,11.998,2.306,3.52,18.67,37.8,Miocene
12.5037,2.39,12.501,2.414,3.23,18.38,33.4,Miocene
13.0,2.69,12.9982,2.49,3.03,18.18,30.4,Miocene
13.5,2.93,13.4982,2.466,3.09,18.24,31.4,Miocene
14.0084,1.64,14.0045,1.716,5.14,20.29,61.4,Miocene
14.5,1.47,14.496,1.886,4.64,19.79,54.6,Miocene
15.0,1.37,14.9991,1.478,6.09,21.24,70.9,Miocene
15.4995,1.58,15.4894,1.742,5.03,20.18,60.3,Miocene
16.0,1.42,15.9975,2.006,4.32,19.47,49.8,Miocene
16.5,1.89,16.4993,1.758,4.98,20.13,59.7,Miocene
17.0016,2.17,17.0011,2.212,3.77,18.92,41.5,Miocene
17.5,1.74,17.5025,2.308,3.51,18.66,37.7,Miocene
18.0002,2.32,18.0012,2.292,3.55,18.7,38.3,Miocene
18.5006,1.98,18.4992,1.992,4.35,19.5,50.3,Miocene
18.9987,2.32,18.9991,2.282,3.58,18.73,38.7,Miocene
19.4993,2.04,19.499,2.206,3.78,18.93,41.8,Miocene
19.9986,1.85,19.9989,1.92,4.55,19.7,53.2,Miocene
20.5008,1.77,20.4995,2.012,4.3,19.45,49.5,Miocene
21.0005,2.11,20.999,2.162,3.9,19.05,43.5,Miocene
21.5,2.16,21.5012,1.908,4.58,19.73,53.7,Miocene
22.0016,2.11,22.0001,1.838,4.77,19.92,56.5,Miocene
22.5002,1.88,22.4993,1.956,4.45,19.6,51.8,Miocene
23.001,2.63,23.0011,2.574,2.8,17.95,27.0,Miocene
23.4989,1.99,23.4989,1.978,4.39,19.54,50.9,Oligocene
24.0,1.52,24.0004,1.836,4.77,19.92,56.6,Oligocene
24.5,1.56,24.5001,1.806,4.85,20.0,57.8,Oligocene
