"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","16","1","0","17","19","98"
"922","Late Pleistocene","0.12600","0.01170","3","22","19","13","56","20","391"
"923","Middle Pleistocene","0.78100","0.12600","5","3","4","30","34","11","383"
"740","Calabrian","1.80600","0.78100","9","4","4","24","34","15","211"
"741","Gelasian","2.58800","1.80600","1","0","1","27","5","3","19"
"96","Piacenzian","3.60000","2.58800","2","3","2","25","13","15","98"
"97","Zanclean","5.33300","3.60000","2","1","0","26","8","12","89"
"98","Messinian","7.24600","5.33300","3","0","1","24","8","14","102"
"99","Tortonian","11.62000","7.24600","6","11","12","18","35","18","198"
"100","Serravallian","13.82000","11.62000","6","5","6","23","29","18","126"
"101","Langhian","15.97000","13.82000","14","3","8","14","36","16","161"
"102","Burdigalian","20.44000","15.97000","10","4","12","7","29","26","148"
"103","Aquitanian","23.03000","20.44000","2","0","0","9","4","3","11"
"104","Chattian","28.10000","23.03000","5","1","8","4","16","14","59"
"105","Rupelian","33.90000","28.10000","4","0","7","1","11","13","57"
"106","Priabonian","38.00000","33.90000","0","1","6","1","7","5","46"
"107","Bartonian","41.30000","38.00000","2","0","0","0","2","2","28"
"108","Lutetian","47.80000","41.30000","0","0","7","0","7","3","32"
"109","Ypresian","56.00000","47.80000","0","2","16","0","18","5","74"
"110","Thanetian","59.20000","56.00000","1","0","5","1","6","4","27"
"743","Selandian","61.60000","59.20000","0","0","0","1","0","0","0"
"111","Danian","66.00000","61.60000","1","7","4","0","12","2","76"
"112","Maastrichtian","72.10000","66.00000","2","4","11","5","22","13","511"
