interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002,Holocene,0.0117,0.0,878,182,377,7423,2988,883,15959
922,Late Pleistocene,0.126,0.0117,1897,469,625,5708,5622,1378,36594
923,Middle Pleistocene,0.781,0.126,1236,180,218,4941,3189,859,15725
740,Calabrian,1.806,0.781,996,409,449,4125,3049,1258,20373
741,Gelasian,2.588,1.806,357,142,109,4177,1117,456,5670
96,Piacenzian,3.6,2.588,707,739,895,3612,3533,1361,18825
97,Zanclean,5.333,3.6,1483,691,1238,2868,4712,1517,21844
98,Messinian,7.246,5.333,326,351,558,3233,1888,1026,11554
99,Tortonian,11.62,7.246,1213,942,2087,2371,5276,1867,32092
100,Serravallian,13.82,11.62,794,889,2031,2519,4692,1710,27707
101,Langhian,15.97,13.82,426,346,702,2982,2115,901,11593
102,Burdigalian,20.44,15.97,1836,706,4352,1492,7676,2053,34998
103,Aquitanian,23.03,20.44,391,131,420,1807,1216,583,4092
104,Chattian,28.1,23.03,763,611,2060,1175,3795,1050,13806
105,Rupelian,33.9,28.1,901,520,2045,885,3759,1089,19855
106,Priabonian,38.0,33.9,590,857,8564,815,10326,1304,28096
107,Bartonian,41.3,38.0,475,690,1097,1197,2673,983,19442
108,Lutetian,47.8,41.3,1030,493,2658,857,4628,1304,21792
109,Ypresian,56.0,47.8,978,208,3470,372,4829,1031,29054
110,Thanetian,59.2,56.0,312,169,647,268,1230,599,6761
743,Selandian,61.6,59.2,84,54,505,353,708,294,2534
111,Danian,66.0,61.6,270,178,883,137,1384,986,11601
112,Maastrichtian,72.1,66.0,315,0,2573,0,2888,1114,44099
