interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002,Holocene,0.0117,0.0,95,2,173,1031,278,51,437
922,Late Pleistocene,0.126,0.0117,431,1,145,602,725,147,2655
923,Middle Pleistocene,0.781,0.126,258,1,7,345,301,76,1392
740,Calabrian,1.806,0.781,50,1,16,296,87,42,242
741,Gelasian,2.588,1.806,149,11,39,148,209,63,660
96,Piacenzian,3.6,2.588,19,1,81,140,104,44,259
97,Zanclean,5.333,3.6,5,0,9,136,19,11,88
98,Messinian,7.246,5.333,24,7,109,112,141,53,313
99,Tortonian,11.62,7.246,23,3,73,96,99,22,198
100,Serravallian,13.82,11.62,27,39,667,72,734,36,1201
101,Langhian,15.97,13.82,2,0,113,109,115,50,240
102,Burdigalian,20.44,15.97,44,4,1648,65,1696,183,2789
103,Aquitanian,23.03,20.44,6,2,30,63,39,11,105
104,Chattian,28.1,23.03,25,42,861,40,935,64,1648
105,Rupelian,33.9,28.1,58,15,307,24,385,26,761
106,Priabonian,38.0,33.9,32,8,5993,7,6033,166,10212
107,Bartonian,41.3,38.0,1,0,10,14,11,3,28
108,Lutetian,47.8,41.3,7,15,445,7,467,45,970
109,Ypresian,56.0,47.8,22,0,934,0,956,67,1996
110,Thanetian,59.2,56.0,0,0,47,0,47,0,69
743,Selandian,61.6,59.2,0,0,146,0,146,8,214
111,Danian,66.0,61.6,0,0,23,0,23,0,25
112,Maastrichtian,72.1,66.0,0,0,14,0,14,1,49
