"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","425","231","0","656","173","4757"
"922","Late Pleistocene","0.12600","0.01170","86","329","227","339","928","228","8294"
"923","Middle Pleistocene","0.78100","0.12600","191","113","124","477","733","220","5485"
"740","Calabrian","1.80600","0.78100","343","138","265","247","923","345","8729"
"741","Gelasian","2.58800","1.80600","80","40","24","305","237","114","2431"
"96","Piacenzian","3.60000","2.58800","89","102","157","256","478","326","3616"
"97","Zanclean","5.33300","3.60000","209","124","280","149","688","368","4185"
"98","Messinian","7.24600","5.33300","66","141","161","207","440","251","2592"
"99","Tortonian","11.62000","7.24600","272","289","808","76","1421","522","8526"
"100","Serravallian","13.82000","11.62000","161","207","407","204","908","303","5949"
"101","Langhian","15.97000","13.82000","158","138","275","253","723","226","5185"
"102","Burdigalian","20.44000","15.97000","342","139","713","49","1233","328","7222"
"103","Aquitanian","23.03000","20.44000","84","61","173","104","351","114","1265"
"104","Chattian","28.10000","23.03000","103","170","451","62","762","221","3208"
"105","Rupelian","33.90000","28.10000","212","193","666","20","1086","188","5657"
"106","Priabonian","38.00000","33.90000","156","125","420","57","733","156","3875"
"107","Bartonian","41.30000","38.00000","84","132","264","98","502","139","1870"
"108","Lutetian","47.80000","41.30000","164","99","629","66","937","163","4037"
"109","Ypresian","56.00000","47.80000","156","75","917","9","1154","127","12884"
"110","Thanetian","59.20000","56.00000","77","24","208","7","310","54","1857"
"743","Selandian","61.60000","59.20000","10","2","48","21","60","14","111"
"111","Danian","66.00000","61.60000","21","10","394","2","426","30","2323"
"112","Maastrichtian","72.10000","66.00000","6","21","82","6","113","17","1185"
