"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","132","63","0","195","7","1661"
"923","Middle Pleistocene","0.78100","0.12600","11","15","3","121","100","7","547"
"740","Calabrian","1.80600","0.78100","9","10","7","127","89","6","726"
"741","Gelasian","2.58800","1.80600","2","2","1","135","34","2","92"
"96","Piacenzian","3.60000","2.58800","4","9","5","133","66","10","361"
"97","Zanclean","5.33300","3.60000","10","21","16","132","99","12","528"
"98","Messinian","7.24600","5.33300","2","6","4","151","47","9","372"
"99","Tortonian","11.62000","7.24600","18","35","21","139","161","15","1131"
"100","Serravallian","13.82000","11.62000","34","20","14","140","151","14","932"
"101","Langhian","15.97000","13.82000","11","9","6","149","98","11","680"
"102","Burdigalian","20.44000","15.97000","54","10","28","104","156","13","1147"
"103","Aquitanian","23.03000","20.44000","5","4","4","109","47","7","183"
"104","Chattian","28.10000","23.03000","19","16","10","94","89","18","408"
"105","Rupelian","33.90000","28.10000","31","22","24","79","117","14","577"
"106","Priabonian","38.00000","33.90000","17","42","33","84","128","14","766"
"107","Bartonian","41.30000","38.00000","17","3","11","109","69","17","306"
"108","Lutetian","47.80000","41.30000","24","21","40","88","136","15","927"
"109","Ypresian","56.00000","47.80000","54","25","81","55","199","19","1808"
"110","Thanetian","59.20000","56.00000","20","17","25","60","83","19","360"
"743","Selandian","61.60000","59.20000","7","3","4","70","18","2","52"
"111","Danian","66.00000","61.60000","20","16","34","53","98","20","721"
"112","Maastrichtian","72.10000","66.00000","69","0","429","0","498","46","6879"
