interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002.0,Holocene,0.0117,0.0,1.0,0.0,0.0,74.0,17.0,19.0,98.0
922.0,Late Pleistocene,0.126,0.0117,18.0,1.0,4.0,56.0,56.0,20.0,391.0
923.0,Middle Pleistocene,0.781,0.126,9.0,0.0,0.0,48.0,34.0,11.0,383.0
740.0,Calabrian,1.806,0.781,11.0,1.0,2.0,37.0,34.0,15.0,211.0
741.0,Gelasian,2.588,1.806,1.0,0.0,1.0,37.0,5.0,3.0,19.0
96.0,Piacenzian,3.6,2.588,3.0,1.0,1.0,34.0,13.0,15.0,98.0
,Interpolated at 5.0 Ma,5.0,0.0,,,,,,,101.23139065204847
97.0,Zanclean,5.333,3.6,2.0,1.0,0.0,33.0,8.0,12.0,89.0
98.0,Messinian,7.246,5.333,3.0,0.0,1.0,31.0,8.0,14.0,102.0
,Interpolated at 10.0 Ma,10.0,5.0,,,,,,,117.11111111111111
99.0,Tortonian,11.62,7.246,8.0,11.0,10.0,23.0,35.0,18.0,198.0
100.0,Serravallian,13.82,11.62,8.0,4.0,4.0,26.0,29.0,18.0,126.0
,Interpolated at 15.0 Ma,15.0,10.0,,,,,,,138.07441860465116
101.0,Langhian,15.97,13.82,14.0,3.0,8.0,16.0,36.0,16.0,161.0
,Interpolated at 20.0 Ma,20.0,15.0,,,,,,,25.76510067114097
102.0,Burdigalian,20.44,15.97,10.0,4.0,12.0,9.0,29.0,26.0,148.0
103.0,Aquitanian,23.03,20.44,2.0,0.0,0.0,11.0,4.0,3.0,11.0
,Interpolated at 25.0 Ma,25.0,20.0,,,,,,,28.87376725838263
104.0,Chattian,28.1,23.03,7.0,1.0,6.0,4.0,16.0,14.0,59.0
,Interpolated at 30.0 Ma,30.0,25.0,,,,,,,54.741379310344826
105.0,Rupelian,33.9,28.1,4.0,0.0,7.0,1.0,11.0,13.0,57.0
,Interpolated at 35.0 Ma,35.0,30.0,,,,,,,49.21951219512194
106.0,Priabonian,38.0,33.9,0.0,1.0,6.0,1.0,7.0,5.0,46.0
,Interpolated at 40.0 Ma,40.0,35.0,,,,,,,37.51515151515151
107.0,Bartonian,41.3,38.0,2.0,0.0,0.0,0.0,2.0,2.0,28.0
,Interpolated at 45.0 Ma,45.0,40.0,,,,,,,54.184615384615405
108.0,Lutetian,47.8,41.3,0.0,0.0,7.0,0.0,7.0,3.0,32.0
,Interpolated at 50.0 Ma,50.0,45.0,,,,,,,30.65853658536585
,Interpolated at 55.0 Ma,55.0,50.0,,,,,,,27.609756097560975
109.0,Ypresian,56.0,47.8,0.0,2.0,16.0,0.0,18.0,5.0,74.0
110.0,Thanetian,59.2,56.0,1.0,0.0,5.0,1.0,6.0,4.0,27.0
,Interpolated at 60.0 Ma,60.0,55.0,,,,,,,43.333333333333286
743.0,Selandian,61.6,59.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,Interpolated at 65.0 Ma,65.0,60.0,,,,,,,394.8636363636364
111.0,Danian,66.0,61.6,1.0,7.0,4.0,0.0,12.0,2.0,76.0
112.0,Maastrichtian,72.1,66.0,7.0,0.0,15.0,0.0,22.0,13.0,511.0
