interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002.0,Holocene,0.0117,0.0,878.0,182.0,377.0,7423.0,2988.0,883.0,15959.0
,Interpolated between Holocene and Late Pleistocene,0.040275,0.011699999999999999,,,,,3646.5,,
,Interpolated between Holocene and Late Pleistocene,0.06885,0.04027499999999999,,,,,4305.0,,
,Interpolated between Holocene and Late Pleistocene,0.09742499999999998,0.06884999999999998,,,,,4963.5,,
922.0,Late Pleistocene,0.126,0.0117,1897.0,469.0,625.0,5708.0,5622.0,1378.0,36594.0
,Interpolated between Late Pleistocene and Middle Pleistocene,0.28975,0.126,,,,,5013.75,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.4535,0.28975,,,,,4405.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.6172500000000001,0.45350000000000007,,,,,3797.25,,
923.0,Middle Pleistocene,0.781,0.126,1236.0,180.0,218.0,4941.0,3189.0,859.0,15725.0
,Interpolated between Middle Pleistocene and Calabrian,1.03725,0.781,,,,,3154.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.2934999999999999,1.0372499999999998,,,,,3119.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.5497499999999997,1.2934999999999999,,,,,3084.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.8059999999999996,1.5497499999999995,,,,,3049.0,,
740.0,Calabrian,1.806,0.781,996.0,409.0,449.0,4125.0,3049.0,1258.0,20373.0
,Interpolated between Calabrian and Gelasian,2.0015,1.806,,,,,2566.0,,
,Interpolated between Calabrian and Gelasian,2.197,2.0015,,,,,2083.0,,
,Interpolated between Calabrian and Gelasian,2.3925,2.197,,,,,1600.0,,
741.0,Gelasian,2.588,1.806,357.0,142.0,109.0,4177.0,1117.0,456.0,5670.0
,Interpolated between Gelasian and Piacenzian,2.841,2.588,,,,,1721.0000000000002,,
,Interpolated between Gelasian and Piacenzian,3.0940000000000003,2.841,,,,,2325.0000000000005,,
,Interpolated between Gelasian and Piacenzian,3.3470000000000004,3.0940000000000003,,,,,2929.000000000001,,
96.0,Piacenzian,3.6,2.588,707.0,739.0,895.0,3612.0,3533.0,1361.0,18825.0
,Interpolated between Piacenzian and Zanclean,4.03325,3.5999999999999996,,,,,3827.75,,
,Interpolated between Piacenzian and Zanclean,4.4665,4.03325,,,,,4122.5,,
,Interpolated between Piacenzian and Zanclean,4.89975,4.4665,,,,,4417.25,,
97.0,Zanclean,5.333,3.6,1483.0,691.0,1238.0,2868.0,4712.0,1517.0,21844.0
,Interpolated between Piacenzian and Zanclean,5.333,4.89975,,,,,4712.0,,
,Interpolated between Zanclean and Messinian,5.81125,5.333,,,,,4006.0,,
,Interpolated between Zanclean and Messinian,6.2895,5.81125,,,,,3300.0,,
,Interpolated between Zanclean and Messinian,6.76775,6.2895,,,,,2594.0,,
98.0,Messinian,7.246,5.333,326.0,351.0,558.0,3233.0,1888.0,1026.0,11554.0
,Interpolated between Messinian and Tortonian,8.339500000000001,7.246000000000001,,,,,2735.000000000001,,
,Interpolated between Messinian and Tortonian,9.433,8.339500000000001,,,,,3582.0,,
,Interpolated between Messinian and Tortonian,10.526499999999999,9.433,,,,,4428.999999999999,,
99.0,Tortonian,11.62,7.246,1213.0,942.0,2087.0,2371.0,5276.0,1867.0,32092.0
,Interpolated between Tortonian and Serravallian,12.17,11.62,,,,,5130.0,,
,Interpolated between Tortonian and Serravallian,12.72,12.17,,,,,4984.0,,
