interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
3002.0,Holocene,0.0117,0.0,95.0,2.0,173.0,1031.0,278.0,51.0,437.0
922.0,Late Pleistocene,0.126,0.0117,431.0,1.0,145.0,602.0,725.0,147.0,2655.0
923.0,Middle Pleistocene,0.781,0.126,258.0,1.0,7.0,345.0,301.0,76.0,1392.0
740.0,Calabrian,1.806,0.781,50.0,1.0,16.0,296.0,87.0,42.0,242.0
741.0,Gelasian,2.588,1.806,149.0,11.0,39.0,148.0,209.0,63.0,660.0
96.0,Piacenzian,3.6,2.588,19.0,1.0,81.0,140.0,104.0,44.0,259.0
,Interpolated at 5.0 Ma,5.0,0.0,,,,,,,302.62377380265434
97.0,Zanclean,5.333,3.6,5.0,0.0,9.0,136.0,19.0,11.0,88.0
98.0,Messinian,7.246,5.333,24.0,7.0,109.0,112.0,141.0,53.0,313.0
,Interpolated at 10.0 Ma,10.0,5.0,,,,,,,872.1111111111111
99.0,Tortonian,11.62,7.246,23.0,3.0,73.0,96.0,99.0,22.0,198.0
100.0,Serravallian,13.82,11.62,27.0,39.0,667.0,72.0,734.0,36.0,1201.0
,Interpolated at 15.0 Ma,15.0,10.0,,,,,,,2072.553488372093
101.0,Langhian,15.97,13.82,2.0,0.0,113.0,109.0,115.0,50.0,240.0
,Interpolated at 20.0 Ma,20.0,15.0,,,,,,,118.28859060402688
102.0,Burdigalian,20.44,15.97,44.0,4.0,1648.0,65.0,1696.0,183.0,2789.0
103.0,Aquitanian,23.03,20.44,6.0,2.0,30.0,63.0,39.0,11.0,105.0
,Interpolated at 25.0 Ma,25.0,20.0,,,,,,,359.895463510848
104.0,Chattian,28.1,23.03,25.0,42.0,861.0,40.0,935.0,64.0,1648.0
,Interpolated at 30.0 Ma,30.0,25.0,,,,,,,4453.448275862069
105.0,Rupelian,33.9,28.1,58.0,15.0,307.0,24.0,385.0,26.0,761.0
,Interpolated at 35.0 Ma,35.0,30.0,,,,,,,564.341463414634
106.0,Priabonian,38.0,33.9,32.0,8.0,5993.0,7.0,6033.0,166.0,10212.0
,Interpolated at 40.0 Ma,40.0,35.0,,,,,,,4610.7878787878735
107.0,Bartonian,41.3,38.0,1.0,0.0,10.0,14.0,11.0,3.0,28.0
,Interpolated at 45.0 Ma,45.0,40.0,,,,,,,1148.2461538461546
108.0,Lutetian,47.8,41.3,7.0,15.0,445.0,7.0,467.0,45.0,970.0
,Interpolated at 50.0 Ma,50.0,45.0,,,,,,,728.2682926829266
,Interpolated at 55.0 Ma,55.0,50.0,,,,,,,178.8780487804878
109.0,Ypresian,56.0,47.8,22.0,0.0,934.0,0.0,956.0,67.0,1996.0
110.0,Thanetian,59.2,56.0,0.0,0.0,47.0,0.0,47.0,0.0,69.0
,Interpolated at 60.0 Ma,60.0,55.0,,,,,,,54.33333333333337
743.0,Selandian,61.6,59.2,0.0,0.0,146.0,0.0,146.0,8.0,214.0
,Interpolated at 65.0 Ma,65.0,60.0,,,,,,,86.5
111.0,Danian,66.0,61.6,0.0,0.0,23.0,0.0,23.0,0.0,25.0
112.0,Maastrichtian,72.1,66.0,0.0,0.0,14.0,0.0,14.0,1.0,49.0
