interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
922.0,Late Pleistocene,0.126,0.0117,0.0,515.0,205.0,0.0,720.0,11.0,11287.0
,Interpolated between Late Pleistocene and Middle Pleistocene,0.1915,0.126,,,,,697.7,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.257,0.1915,,,,,675.4,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.3225,0.257,,,,,653.1,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.388,0.3225,,,,,630.8,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.4535,0.388,,,,,608.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.519,0.4535,,,,,586.2,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.5845,0.519,,,,,563.9,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.65,0.5845,,,,,541.6,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.7155,0.65,,,,,519.3,,
923.0,Middle Pleistocene,0.781,0.126,43.0,76.0,32.0,472.0,497.0,11.0,5375.0
,Interpolated between Middle Pleistocene and Calabrian,0.8835000000000001,0.781,,,,,507.5,,
,Interpolated between Middle Pleistocene and Calabrian,0.9860000000000001,0.8835000000000001,,,,,518.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.0885000000000002,0.9860000000000002,,,,,528.5,,
,Interpolated between Middle Pleistocene and Calabrian,1.1910000000000003,1.0885000000000002,,,,,539.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.2935000000000003,1.1910000000000003,,,,,549.5,,
,Interpolated between Middle Pleistocene and Calabrian,1.3960000000000004,1.2935000000000003,,,,,560.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.4985000000000004,1.3960000000000004,,,,,570.5,,
,Interpolated between Middle Pleistocene and Calabrian,1.6010000000000004,1.4985000000000004,,,,,581.0,,
,Interpolated between Middle Pleistocene and Calabrian,1.7035000000000005,1.6010000000000004,,,,,591.5,,
740.0,Calabrian,1.806,0.781,95.0,96.0,55.0,453.0,602.0,7.0,8601.0
,Interpolated between Calabrian and Gelasian,1.8842,1.806,,,,,564.9,,
,Interpolated between Calabrian and Gelasian,1.9624000000000001,1.8842,,,,,527.8,,
,Interpolated between Calabrian and Gelasian,2.0406000000000004,1.9624000000000004,,,,,490.6999999999998,,
,Interpolated between Calabrian and Gelasian,2.1188000000000002,2.0406000000000004,,,,,453.5999999999999,,
,Interpolated between Calabrian and Gelasian,2.197,2.1188000000000002,,,,,416.5,,
,Interpolated between Calabrian and Gelasian,2.2752000000000003,2.1970000000000005,,,,,379.39999999999986,,
,Interpolated between Calabrian and Gelasian,2.3534000000000006,2.2752000000000008,,,,,342.2999999999997,,
,Interpolated between Calabrian and Gelasian,2.4316000000000004,2.3534000000000006,,,,,305.1999999999998,,
,Interpolated between Calabrian and Gelasian,2.5098000000000003,2.4316000000000004,,,,,268.0999999999999,,
741.0,Gelasian,2.588,1.806,25.0,20.0,1.0,524.0,231.0,4.0,2365.0
,Interpolated between Gelasian and Piacenzian,2.6892,2.588,,,,,260.09999999999997,,
,Interpolated between Gelasian and Piacenzian,2.7904,2.6892,,,,,289.2,,
,Interpolated between Gelasian and Piacenzian,2.8916,2.7904,,,,,318.29999999999995,,
,Interpolated between Gelasian and Piacenzian,2.9928,2.8916,,,,,347.4,,
,Interpolated between Gelasian and Piacenzian,3.094,2.9928,,,,,376.49999999999994,,
,Interpolated between Gelasian and Piacenzian,3.1952,3.094,,,,,405.5999999999999,,
,Interpolated between Gelasian and Piacenzian,3.2963999999999998,3.1952,,,,,434.69999999999993,,
,Interpolated between Gelasian and Piacenzian,3.3975999999999997,3.2963999999999998,,,,,463.7999999999999,,
,Interpolated between Gelasian and Piacenzian,3.4987999999999997,3.3975999999999997,,,,,492.89999999999986,,
96.0,Piacenzian,3.6,2.588,56.0,114.0,48.0,488.0,522.0,17.0,3303.0
,Interpolated between Piacenzian and Zanclean,3.7733,3.5999999999999996,,,,,528.8,,
,Interpolated between Piacenzian and Zanclean,3.9466,3.7733,,,,,535.6,,
,Interpolated between Piacenzian and Zanclean,4.1199,3.9466,,,,,542.4,,
,Interpolated between Piacenzian and Zanclean,4.293200000000001,4.1199,,,,,549.2,,
,Interpolated between Piacenzian and Zanclean,4.466500000000001,4.293200000000001,,,,,556.0,,
,Interpolated between Piacenzian and Zanclean,4.639800000000001,4.466500000000001,,,,,562.8000000000001,,
,Interpolated between Piacenzian and Zanclean,4.813100000000001,4.639800000000001,,,,,569.6,,
,Interpolated between Piacenzian and Zanclean,4.9864000000000015,4.813100000000001,,,,,576.4000000000001,,
,Interpolated between Piacenzian and Zanclean,5.159700000000002,4.9864000000000015,,,,,583.2,,
97.0,Zanclean,5.333,3.6,175.0,94.0,72.0,427.0,590.0,13.0,3464.0
,Interpolated between Piacenzian and Zanclean,5.333000000000002,5.159700000000002,,,,,590.0000000000001,,
,Interpolated between Zanclean and Messinian,5.5243,5.333,,,,,573.6,,
,Interpolated between Zanclean and Messinian,5.7156,5.5243,,,,,557.2,,
,Interpolated between Zanclean and Messinian,5.9069,5.7156,,,,,540.8,,
,Interpolated between Zanclean and Messinian,6.0982,5.9069,,,,,524.4,,
,Interpolated between Zanclean and Messinian,6.2895,6.0982,,,,,508.0,,
,Interpolated between Zanclean and Messinian,6.4808,6.2895,,,,,491.6,,
,Interpolated between Zanclean and Messinian,6.6721,6.4808,,,,,475.2,,
,Interpolated between Zanclean and Messinian,6.8634,6.6721,,,,,458.79999999999995,,
,Interpolated between Zanclean and Messinian,7.0547,6.8634,,,,,442.4,,
98.0,Messinian,7.246,5.333,54.0,101.0,21.0,467.0,426.0,9.0,2361.0
,Interpolated between Messinian and Tortonian,7.683400000000001,7.246,,,,,486.70000000000005,,
,Interpolated between Messinian and Tortonian,8.120800000000001,7.683400000000001,,,,,547.4000000000001,,
,Interpolated between Messinian and Tortonian,8.558200000000001,8.120800000000001,,,,,608.1000000000001,,
,Interpolated between Messinian and Tortonian,8.995600000000001,8.558200000000001,,,,,668.8000000000002,,
,Interpolated between Messinian and Tortonian,9.433000000000002,8.995600000000001,,,,,729.5000000000002,,
,Interpolated between Messinian and Tortonian,9.870400000000002,9.433000000000002,,,,,790.2000000000003,,
,Interpolated between Messinian and Tortonian,10.307800000000002,9.870400000000002,,,,,850.9000000000003,,
,Interpolated between Messinian and Tortonian,10.745200000000002,10.307800000000002,,,,,911.6000000000004,,
,Interpolated between Messinian and Tortonian,11.182600000000003,10.745200000000002,,,,,972.3000000000004,,
99.0,Tortonian,11.62,7.246,317.0,248.0,264.0,251.0,1033.0,34.0,7651.0
,Interpolated between Tortonian and Serravallian,11.84,11.62,,,,,994.5999999999999,,
,Interpolated between Tortonian and Serravallian,12.06,11.84,,,,,956.1999999999998,,
,Interpolated between Tortonian and Serravallian,12.280000000000001,12.06,,,,,917.7999999999997,,
,Interpolated between Tortonian and Serravallian,12.500000000000002,12.280000000000001,,,,,879.3999999999996,,
,Interpolated between Tortonian and Serravallian,12.720000000000002,12.500000000000002,,,,,840.9999999999995,,
,Interpolated between Tortonian and Serravallian,12.940000000000003,12.720000000000002,,,,,802.5999999999995,,
,Interpolated between Tortonian and Serravallian,13.160000000000004,12.940000000000003,,,,,764.1999999999994,,
,Interpolated between Tortonian and Serravallian,13.380000000000004,13.160000000000004,,,,,725.7999999999993,,
,Interpolated between Tortonian and Serravallian,13.600000000000005,13.380000000000004,,,,,687.3999999999992,,
100.0,Serravallian,13.82,11.62,125.0,148.0,117.0,374.0,649.0,30.0,5142.0
,Interpolated between Serravallian and Langhian,14.035,13.82,,,,,633.8,,
,Interpolated between Serravallian and Langhian,14.25,14.035,,,,,618.6,,
,Interpolated between Serravallian and Langhian,14.465,14.25,,,,,603.4000000000001,,
,Interpolated between Serravallian and Langhian,14.68,14.465,,,,,588.2,,
,Interpolated between Serravallian and Langhian,14.895,14.68,,,,,573.0,,
,Interpolated between Serravallian and Langhian,15.11,14.895,,,,,557.8000000000001,,
,Interpolated between Serravallian and Langhian,15.325,15.11,,,,,542.6000000000001,,
,Interpolated between Serravallian and Langhian,15.54,15.325,,,,,527.4000000000001,,
,Interpolated between Serravallian and Langhian,15.754999999999999,15.54,,,,,512.2,,
,Interpolated between Serravallian and Langhian,15.969999999999999,15.754999999999999,,,,,497.0000000000001,,
101.0,Langhian,15.97,13.82,106.0,104.0,45.0,416.0,497.0,16.0,4841.0
,Interpolated between Langhian and Burdigalian,16.417,15.970000000000002,,,,,531.5000000000001,,
,Interpolated between Langhian and Burdigalian,16.864,16.417,,,,,566.0,,
,Interpolated between Langhian and Burdigalian,17.311,16.864,,,,,600.5,,
,Interpolated between Langhian and Burdigalian,17.758,17.311,,,,,634.9999999999999,,
,Interpolated between Langhian and Burdigalian,18.205,17.758,,,,,669.4999999999998,,
,Interpolated between Langhian and Burdigalian,18.651999999999997,18.205,,,,,703.9999999999998,,
,Interpolated between Langhian and Burdigalian,19.098999999999997,18.651999999999997,,,,,738.4999999999997,,
,Interpolated between Langhian and Burdigalian,19.545999999999996,19.098999999999997,,,,,772.9999999999995,,
,Interpolated between Langhian and Burdigalian,19.992999999999995,19.545999999999996,,,,,807.4999999999995,,
102.0,Burdigalian,20.44,15.97,296.0,141.0,221.0,224.0,842.0,23.0,6625.0
,Interpolated between Burdigalian and Aquitanian,20.699,20.44,,,,,785.4,,
,Interpolated between Burdigalian and Aquitanian,20.958000000000002,20.699,,,,,728.7999999999998,,
,Interpolated between Burdigalian and Aquitanian,21.217000000000002,20.958000000000002,,,,,672.1999999999998,,
,Interpolated between Burdigalian and Aquitanian,21.476000000000003,21.217000000000002,,,,,615.5999999999997,,
,Interpolated between Burdigalian and Aquitanian,21.735000000000003,21.476000000000003,,,,,558.9999999999995,,
,Interpolated between Burdigalian and Aquitanian,21.994000000000003,21.735000000000003,,,,,502.3999999999995,,
,Interpolated between Burdigalian and Aquitanian,22.253000000000004,21.994000000000003,,,,,445.79999999999944,,
,Interpolated between Burdigalian and Aquitanian,22.512000000000004,22.253000000000004,,,,,389.1999999999994,,
,Interpolated between Burdigalian and Aquitanian,22.771000000000004,22.512000000000004,,,,,332.5999999999993,,
103.0,Aquitanian,23.03,20.44,73.0,48.0,31.0,292.0,276.0,10.0,1186.0
,Interpolated between Aquitanian and Chattian,23.537000000000003,23.03,,,,,306.1000000000001,,
,Interpolated between Aquitanian and Chattian,24.044000000000004,23.537000000000003,,,,,336.20000000000016,,
,Interpolated between Aquitanian and Chattian,24.551000000000005,24.044000000000004,,,,,366.30000000000024,,
,Interpolated between Aquitanian and Chattian,25.058000000000007,24.551000000000005,,,,,396.4000000000003,,
,Interpolated between Aquitanian and Chattian,25.56500000000001,25.058000000000007,,,,,426.50000000000045,,
,Interpolated between Aquitanian and Chattian,26.07200000000001,25.56500000000001,,,,,456.6000000000005,,
,Interpolated between Aquitanian and Chattian,26.57900000000001,26.07200000000001,,,,,486.7000000000006,,
,Interpolated between Aquitanian and Chattian,27.086000000000013,26.57900000000001,,,,,516.8000000000006,,
,Interpolated between Aquitanian and Chattian,27.593000000000014,27.086000000000013,,,,,546.9000000000008,,
104.0,Chattian,28.1,23.03,147.0,147.0,143.0,193.0,577.0,51.0,2869.0
,Interpolated between Chattian and Rupelian,28.68,28.1,,,,,588.9,,
,Interpolated between Chattian and Rupelian,29.259999999999998,28.68,,,,,600.8,,
,Interpolated between Chattian and Rupelian,29.839999999999996,29.259999999999998,,,,,612.6999999999999,,
,Interpolated between Chattian and Rupelian,30.419999999999995,29.839999999999996,,,,,624.5999999999999,,
,Interpolated between Chattian and Rupelian,30.999999999999993,30.419999999999995,,,,,636.4999999999999,,
,Interpolated between Chattian and Rupelian,31.57999999999999,30.999999999999993,,,,,648.3999999999999,,
,Interpolated between Chattian and Rupelian,32.15999999999999,31.57999999999999,,,,,660.2999999999998,,
,Interpolated between Chattian and Rupelian,32.73999999999999,32.15999999999999,,,,,672.1999999999998,,
,Interpolated between Chattian and Rupelian,33.319999999999986,32.73999999999999,,,,,684.0999999999997,,
,Interpolated between Chattian and Rupelian,33.899999999999984,33.319999999999986,,,,,695.9999999999998,,
105.0,Rupelian,33.9,28.1,215.0,173.0,204.0,125.0,696.0,37.0,5527.0
,Interpolated between Rupelian and Priabonian,34.31,33.900000000000006,,,,,675.0999999999998,,
,Interpolated between Rupelian and Priabonian,34.72,34.31,,,,,654.2,,
,Interpolated between Rupelian and Priabonian,35.129999999999995,34.72,,,,,633.3000000000002,,
,Interpolated between Rupelian and Priabonian,35.53999999999999,35.129999999999995,,,,,612.4000000000003,,
,Interpolated between Rupelian and Priabonian,35.94999999999999,35.53999999999999,,,,,591.5000000000006,,
,Interpolated between Rupelian and Priabonian,36.359999999999985,35.94999999999999,,,,,570.6000000000007,,
,Interpolated between Rupelian and Priabonian,36.76999999999998,36.359999999999985,,,,,549.700000000001,,
,Interpolated between Rupelian and Priabonian,37.17999999999998,36.76999999999998,,,,,528.8000000000011,,
