interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
922.0,Late Pleistocene,0.126,0.0117,0.0,60.0,56.0,0.0,116.0,46.0,808.0
,Interpolated between Late Pleistocene and Middle Pleistocene,0.1915,0.126,,,,,108.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.257,0.1915,,,,,101.0,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.3225,0.257,,,,,93.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.388,0.3225,,,,,86.0,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.4535,0.388,,,,,78.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.519,0.4535,,,,,71.0,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.5845,0.519,,,,,63.5,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.65,0.5845,,,,,56.0,,
,Interpolated between Late Pleistocene and Middle Pleistocene,0.7155,0.65,,,,,48.5,,
923.0,Middle Pleistocene,0.781,0.126,9.0,2.0,4.0,51.0,41.0,22.0,149.0
,Interpolated between Middle Pleistocene and Calabrian,0.8835000000000001,0.781,,,,,42.6,,
,Interpolated between Middle Pleistocene and Calabrian,0.9860000000000001,0.8835000000000001,,,,,44.2,,
,Interpolated between Middle Pleistocene and Calabrian,1.0885000000000002,0.9860000000000002,,,,,45.800000000000004,,
,Interpolated between Middle Pleistocene and Calabrian,1.1910000000000003,1.0885000000000002,,,,,47.400000000000006,,
,Interpolated between Middle Pleistocene and Calabrian,1.2935000000000003,1.1910000000000003,,,,,49.00000000000001,,
,Interpolated between Middle Pleistocene and Calabrian,1.3960000000000004,1.2935000000000003,,,,,50.60000000000001,,
,Interpolated between Middle Pleistocene and Calabrian,1.4985000000000004,1.3960000000000004,,,,,52.2,,
,Interpolated between Middle Pleistocene and Calabrian,1.6010000000000004,1.4985000000000004,,,,,53.80000000000001,,
,Interpolated between Middle Pleistocene and Calabrian,1.7035000000000005,1.6010000000000004,,,,,55.400000000000006,,
740.0,Calabrian,1.806,0.781,20.0,2.0,11.0,33.0,57.0,30.0,357.0
,Interpolated between Calabrian and Gelasian,1.8842,1.806,,,,,52.3,,
,Interpolated between Calabrian and Gelasian,1.9624000000000001,1.8842,,,,,47.599999999999994,,
,Interpolated between Calabrian and Gelasian,2.0406000000000004,1.9624000000000004,,,,,42.89999999999998,,
,Interpolated between Calabrian and Gelasian,2.1188000000000002,2.0406000000000004,,,,,38.19999999999999,,
,Interpolated between Calabrian and Gelasian,2.197,2.1188000000000002,,,,,33.5,,
,Interpolated between Calabrian and Gelasian,2.2752000000000003,2.1970000000000005,,,,,28.799999999999986,,
,Interpolated between Calabrian and Gelasian,2.3534000000000006,2.2752000000000008,,,,,24.099999999999966,,
,Interpolated between Calabrian and Gelasian,2.4316000000000004,2.3534000000000006,,,,,19.399999999999977,,
,Interpolated between Calabrian and Gelasian,2.5098000000000003,2.4316000000000004,,,,,14.699999999999989,,
741.0,Gelasian,2.588,1.806,4.0,0.0,1.0,31.0,10.0,5.0,16.0
,Interpolated between Gelasian and Piacenzian,2.6892,2.588,,,,,9.4,,
,Interpolated between Gelasian and Piacenzian,2.7904,2.6892,,,,,8.8,,
,Interpolated between Gelasian and Piacenzian,2.8916,2.7904,,,,,8.200000000000001,,
,Interpolated between Gelasian and Piacenzian,2.9928,2.8916,,,,,7.600000000000001,,
,Interpolated between Gelasian and Piacenzian,3.094,2.9928,,,,,7.000000000000002,,
,Interpolated between Gelasian and Piacenzian,3.1952,3.094,,,,,6.400000000000001,,
,Interpolated between Gelasian and Piacenzian,3.2963999999999998,3.1952,,,,,5.800000000000002,,
,Interpolated between Gelasian and Piacenzian,3.3975999999999997,3.2963999999999998,,,,,5.200000000000003,,
,Interpolated between Gelasian and Piacenzian,3.4987999999999997,3.3975999999999997,,,,,4.600000000000002,,
96.0,Piacenzian,3.6,2.588,1.0,1.0,0.0,30.0,4.0,0.0,10.0
,Interpolated between Piacenzian and Zanclean,3.7733,3.5999999999999996,,,,,3.9000000000000004,,
,Interpolated between Piacenzian and Zanclean,3.9466,3.7733,,,,,3.8,,
,Interpolated between Piacenzian and Zanclean,4.1199,3.9466,,,,,3.6999999999999997,,
,Interpolated between Piacenzian and Zanclean,4.293200000000001,4.1199,,,,,3.5999999999999996,,
,Interpolated between Piacenzian and Zanclean,4.466500000000001,4.293200000000001,,,,,3.4999999999999996,,
,Interpolated between Piacenzian and Zanclean,4.639800000000001,4.466500000000001,,,,,3.3999999999999995,,
,Interpolated between Piacenzian and Zanclean,4.813100000000001,4.639800000000001,,,,,3.2999999999999994,,
,Interpolated between Piacenzian and Zanclean,4.9864000000000015,4.813100000000001,,,,,3.1999999999999993,,
,Interpolated between Piacenzian and Zanclean,5.159700000000002,4.9864000000000015,,,,,3.099999999999999,,
97.0,Zanclean,5.333,3.6,0.0,2.0,1.0,31.0,3.0,8.0,20.0
,Interpolated between Piacenzian and Zanclean,5.333000000000002,5.159700000000002,,,,,2.999999999999999,,
,Interpolated between Zanclean and Messinian,5.5243,5.333,,,,,2.7,,
,Interpolated between Zanclean and Messinian,5.7156,5.5243,,,,,2.4,,
,Interpolated between Zanclean and Messinian,5.9069,5.7156,,,,,2.1,,
,Interpolated between Zanclean and Messinian,6.0982,5.9069,,,,,1.7999999999999998,,
,Interpolated between Zanclean and Messinian,6.2895,6.0982,,,,,1.5,,
,Interpolated between Zanclean and Messinian,6.4808,6.2895,,,,,1.2000000000000002,,
,Interpolated between Zanclean and Messinian,6.6721,6.4808,,,,,0.9000000000000004,,
,Interpolated between Zanclean and Messinian,6.8634,6.6721,,,,,0.5999999999999996,,
,Interpolated between Zanclean and Messinian,7.0547,6.8634,,,,,0.2999999999999998,,
98.0,Messinian,7.246,5.333,0.0,0.0,0.0,33.0,0.0,3.0,3.0
,Interpolated between Messinian and Tortonian,7.683400000000001,7.246,,,,,5.500000000000004,,
,Interpolated between Messinian and Tortonian,8.120800000000001,7.683400000000001,,,,,11.000000000000009,,
,Interpolated between Messinian and Tortonian,8.558200000000001,8.120800000000001,,,,,16.500000000000014,,
,Interpolated between Messinian and Tortonian,8.995600000000001,8.558200000000001,,,,,22.000000000000018,,
,Interpolated between Messinian and Tortonian,9.433000000000002,8.995600000000001,,,,,27.500000000000025,,
,Interpolated between Messinian and Tortonian,9.870400000000002,9.433000000000002,,,,,33.00000000000003,,
,Interpolated between Messinian and Tortonian,10.307800000000002,9.870400000000002,,,,,38.500000000000036,,
,Interpolated between Messinian and Tortonian,10.745200000000002,10.307800000000002,,,,,44.000000000000036,,
,Interpolated between Messinian and Tortonian,11.182600000000003,10.745200000000002,,,,,49.500000000000036,,
99.0,Tortonian,11.62,7.246,15.0,17.0,15.0,18.0,55.0,28.0,238.0
,Interpolated between Tortonian and Serravallian,11.84,11.62,,,,,53.699999999999996,,
,Interpolated between Tortonian and Serravallian,12.06,11.84,,,,,52.39999999999999,,
,Interpolated between Tortonian and Serravallian,12.280000000000001,12.06,,,,,51.099999999999994,,
,Interpolated between Tortonian and Serravallian,12.500000000000002,12.280000000000001,,,,,49.79999999999999,,
,Interpolated between Tortonian and Serravallian,12.720000000000002,12.500000000000002,,,,,48.499999999999986,,
,Interpolated between Tortonian and Serravallian,12.940000000000003,12.720000000000002,,,,,47.19999999999998,,
,Interpolated between Tortonian and Serravallian,13.160000000000004,12.940000000000003,,,,,45.89999999999998,,
,Interpolated between Tortonian and Serravallian,13.380000000000004,13.160000000000004,,,,,44.59999999999997,,
,Interpolated between Tortonian and Serravallian,13.600000000000005,13.380000000000004,,,,,43.29999999999997,,
100.0,Serravallian,13.82,11.62,13.0,9.0,9.0,22.0,42.0,32.0,182.0
,Interpolated between Serravallian and Langhian,14.035,13.82,,,,,43.0,,
,Interpolated between Serravallian and Langhian,14.25,14.035,,,,,44.0,,
,Interpolated between Serravallian and Langhian,14.465,14.25,,,,,45.0,,
,Interpolated between Serravallian and Langhian,14.68,14.465,,,,,46.0,,
,Interpolated between Serravallian and Langhian,14.895,14.68,,,,,47.0,,
,Interpolated between Serravallian and Langhian,15.11,14.895,,,,,47.99999999999999,,
,Interpolated between Serravallian and Langhian,15.325,15.11,,,,,48.99999999999999,,
,Interpolated between Serravallian and Langhian,15.54,15.325,,,,,49.99999999999999,,
,Interpolated between Serravallian and Langhian,15.754999999999999,15.54,,,,,50.99999999999999,,
,Interpolated between Serravallian and Langhian,15.969999999999999,15.754999999999999,,,,,51.99999999999999,,
101.0,Langhian,15.97,13.82,13.0,6.0,18.0,18.0,52.0,24.0,300.0
,Interpolated between Langhian and Burdigalian,16.417,15.970000000000002,,,,,52.2,,
,Interpolated between Langhian and Burdigalian,16.864,16.417,,,,,52.4,,
,Interpolated between Langhian and Burdigalian,17.311,16.864,,,,,52.6,,
,Interpolated between Langhian and Burdigalian,17.758,17.311,,,,,52.8,,
,Interpolated between Langhian and Burdigalian,18.205,17.758,,,,,53.0,,
,Interpolated between Langhian and Burdigalian,18.651999999999997,18.205,,,,,53.199999999999996,,
,Interpolated between Langhian and Burdigalian,19.098999999999997,18.651999999999997,,,,,53.4,,
,Interpolated between Langhian and Burdigalian,19.545999999999996,19.098999999999997,,,,,53.599999999999994,,
