interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,128,132,0,260,36,3237,0.06885
923,Middle Pleistocene,0.781,0.126,29,21,28,99,134,58,1075,0.4535
740,Calabrian,1.806,0.781,62,47,63,58,214,72,2397,1.2935
741,Gelasian,2.588,1.806,20,20,5,85,79,38,1220,2.197
96,Piacenzian,3.6,2.588,30,26,37,75,134,77,1056,3.0940000000000003
97,Zanclean,5.333,3.6,68,27,92,33,207,98,1355,4.4665
98,Messinian,7.246,5.333,7,33,42,53,99,76,650,6.2895
99,Tortonian,11.62,7.246,63,85,173,23,335,143,2113,9.433
100,Serravallian,13.82,11.62,43,53,78,65,215,89,1539,12.719999999999999
101,Langhian,15.97,13.82,48,34,61,70,183,58,1203,14.895
102,Burdigalian,20.44,15.97,89,37,126,15,265,67,1466,18.205000000000002
103,Aquitanian,23.03,20.44,38,16,40,14,100,26,377,21.735
104,Chattian,28.1,23.03,13,23,90,17,133,48,549,25.565
105,Rupelian,33.9,28.1,37,38,85,3,163,35,1144,31.0
106,Priabonian,38.0,33.9,38,27,116,3,182,30,1120,35.95
107,Bartonian,41.3,38.0,21,33,52,9,111,30,438,39.65
108,Lutetian,47.8,41.3,39,9,110,3,160,19,591,44.55
109,Ypresian,56.0,47.8,12,0,40,0,52,6,805,51.9
