"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","385","1169","0","1554","112","9781"
"923","Middle Pleistocene","0.78100","0.12600","157","9","49","228","342","38","819"
"740","Calabrian","1.80600","0.78100","120","8","29","117","198","42","590"
"741","Gelasian","2.58800","1.80600","39","1","9","86","54","25","96"
"96","Piacenzian","3.60000","2.58800","12","8","34","75","63","27","181"
"97","Zanclean","5.33300","3.60000","65","18","35","18","124","44","305"
"98","Messinian","7.24600","5.33300","5","12","35","31","55","31","199"
"99","Tortonian","11.62000","7.24600","26","12","73","17","119","46","385"
"100","Serravallian","13.82000","11.62000","12","12","35","17","66","30","200"
"101","Langhian","15.97000","13.82000","12","4","17","17","37","11","141"
"102","Burdigalian","20.44000","15.97000","13","9","78","8","105","26","342"
"103","Aquitanian","23.03000","20.44000","10","3","32","7","45","3","63"
"104","Chattian","28.10000","23.03000","3","4","51","7","58","5","127"
"105","Rupelian","33.90000","28.10000","8","2","71","3","83","15","152"
"106","Priabonian","38.00000","33.90000","5","8","57","0","70","13","181"
"107","Bartonian","41.30000","38.00000","0","5","14","8","23","5","40"
"108","Lutetian","47.80000","41.30000","9","3","54","4","69","6","126"
"109","Ypresian","56.00000","47.80000","7","5","101","0","113","11","298"
"110","Thanetian","59.20000","56.00000","5","0","22","0","27","4","67"
"743","Selandian","61.60000","59.20000","0","0","6","0","6","3","20"
"111","Danian","66.00000","61.60000","0","0","5","0","5","0","9"
"112","Maastrichtian","72.10000","66.00000","0","0","49","0","49","8","176"
