interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,122,68,0,190,18,2744,0.06885
923,Middle Pleistocene,0.781,0.126,29,26,23,93,138,22,807,0.4535
740,Calabrian,1.806,0.781,66,27,51,53,187,39,1128,1.2935
741,Gelasian,2.588,1.806,18,3,10,62,55,14,167,2.197
96,Piacenzian,3.6,2.588,21,19,26,44,89,38,422,3.0940000000000003
97,Zanclean,5.333,3.6,45,17,45,18,117,38,532,4.4665
98,Messinian,7.246,5.333,8,28,29,27,70,33,322,6.2895
99,Tortonian,11.62,7.246,45,54,112,10,217,71,1233,9.433
100,Serravallian,13.82,11.62,31,14,54,33,124,40,806,12.719999999999999
101,Langhian,15.97,13.82,21,22,55,26,118,28,768,14.895
102,Burdigalian,20.44,15.97,43,13,74,5,133,35,665,18.205000000000002
103,Aquitanian,23.03,20.44,10,12,43,8,68,12,234,21.735
104,Chattian,28.1,23.03,13,10,22,7,49,17,129,25.565
105,Rupelian,33.9,28.1,14,9,71,3,96,11,543,31.0
106,Priabonian,38.0,33.9,11,2,16,1,30,4,210,35.95
107,Bartonian,41.3,38.0,3,1,4,0,8,2,30,39.65
108,Lutetian,47.8,41.3,1,0,5,0,6,3,43,44.55
109,Ypresian,56.0,47.8,0,0,2,0,2,1,58,51.9
110,Thanetian,59.2,56.0,0,0,0,0,0,0,0,57.6
743,Selandian,61.6,59.2,0,0,0,0,0,0,0,60.400000000000006
111,Danian,66.0,61.6,0,0,5,0,5,0,12,63.8
