interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,23,70,0,93,7,892,0.06885
923,Middle Pleistocene,0.781,0.126,2,0,0,21,6,9,53,0.4535
740,Calabrian,1.806,0.781,8,3,6,13,20,10,81,1.2935
741,Gelasian,2.588,1.806,3,12,1,13,19,6,54,2.197
96,Piacenzian,3.6,2.588,2,10,18,23,41,18,233,3.0940000000000003
97,Zanclean,5.333,3.6,19,7,51,14,87,35,543,4.4665
98,Messinian,7.246,5.333,3,7,26,18,38,17,163,6.2895
99,Tortonian,11.62,7.246,10,30,81,15,130,40,579,9.433
100,Serravallian,13.82,11.62,21,23,43,24,104,25,565,12.719999999999999
101,Langhian,15.97,13.82,20,5,21,27,61,13,241,14.895
102,Burdigalian,20.44,15.97,26,7,60,6,98,15,429,18.205000000000002
103,Aquitanian,23.03,20.44,13,1,11,0,25,6,55,21.735
104,Chattian,28.1,23.03,1,4,66,0,71,16,284,25.565
105,Rupelian,33.9,28.1,4,0,14,0,18,6,57,31.0
106,Priabonian,38.0,33.9,0,2,14,0,16,4,265,35.95
107,Bartonian,41.3,38.0,1,4,15,1,21,6,81,39.65
108,Lutetian,47.8,41.3,5,1,29,0,35,2,97,44.55
109,Ypresian,56.0,47.8,1,0,1,0,2,0,2,51.9
