interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
99,Tortonian,11.62,7.246,0,0,1,0,1,0,3,9.433
100,Serravallian,13.82,11.62,0,4,0,0,4,1,9,12.719999999999999
101,Langhian,15.97,13.82,0,0,1,4,2,0,7,14.895
102,Burdigalian,20.44,15.97,4,1,21,0,26,3,63,18.205000000000002
103,Aquitanian,23.03,20.44,0,0,1,1,1,0,1,21.735
104,Chattian,28.1,23.03,0,3,2,1,5,5,24,25.565
105,Rupelian,33.9,28.1,3,11,20,1,34,2,108,31.0
106,Priabonian,38.0,33.9,11,5,8,1,25,5,98,35.95
107,Bartonian,41.3,38.0,4,4,12,2,21,6,44,39.65
108,Lutetian,47.8,41.3,3,5,23,3,33,3,83,44.55
109,Ypresian,56.0,47.8,8,4,71,0,83,4,1006,51.9
110,Thanetian,59.2,56.0,4,0,8,0,12,3,54,57.6
743,Selandian,61.6,59.2,0,0,2,0,2,0,2,60.400000000000006
111,Danian,66.0,61.6,0,0,1,0,1,0,12,63.8
112,Maastrichtian,72.1,66.0,0,0,1,0,1,0,10,69.05
