interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,668,544,0,1212,296,13051,0.06885
923,Middle Pleistocene,0.781,0.126,191,113,124,477,733,220,5485,0.4535
740,Calabrian,1.806,0.781,343,138,265,247,923,345,8729,1.2935
741,Gelasian,2.588,1.806,80,40,24,305,237,114,2431,2.197
96,Piacenzian,3.6,2.588,89,101,158,256,478,326,3616,3.0940000000000003
97,Zanclean,5.333,3.6,209,124,281,148,689,367,4185,4.4665
98,Messinian,7.246,5.333,66,141,164,206,442,250,2592,6.2895
99,Tortonian,11.62,7.246,272,289,810,75,1423,521,8526,9.433
100,Serravallian,13.82,11.62,161,207,407,203,908,303,5949,12.719999999999999
101,Langhian,15.97,13.82,158,138,275,252,723,226,5185,14.895
102,Burdigalian,20.44,15.97,342,139,713,48,1233,329,7223,18.205000000000002
103,Aquitanian,23.03,20.44,84,61,173,103,351,114,1265,21.735
104,Chattian,28.1,23.03,103,170,451,61,762,221,3208,25.565
105,Rupelian,33.9,28.1,212,193,666,19,1086,188,5657,31.0
106,Priabonian,38.0,33.9,156,125,420,56,733,156,3875,35.95
107,Bartonian,41.3,38.0,84,132,264,97,502,139,1870,39.65
108,Lutetian,47.8,41.3,164,99,629,65,937,163,4037,44.55
109,Ypresian,56.0,47.8,156,75,917,8,1154,127,12884,51.9
110,Thanetian,59.2,56.0,77,24,208,6,310,54,1857,57.6
743,Selandian,61.6,59.2,10,2,48,20,60,14,111,60.400000000000006
111,Danian,66.0,61.6,21,9,395,1,426,30,2323,63.8
112,Maastrichtian,72.1,66.0,10,0,103,0,113,17,1185,69.05
