"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","34","14","0","48","4","572"
"923","Middle Pleistocene","0.78100","0.12600","5","6","0","29","30","4","354"
"740","Calabrian","1.80600","0.78100","23","12","14","12","61","7","827"
"741","Gelasian","2.58800","1.80600","4","3","0","20","15","5","295"
"96","Piacenzian","3.60000","2.58800","6","4","6","17","25","11","275"
"97","Zanclean","5.33300","3.60000","9","9","10","12","32","20","295"
"98","Messinian","7.24600","5.33300","2","10","5","19","21","19","176"
"99","Tortonian","11.62000","7.24600","21","55","43","8","127","27","1281"
"100","Serravallian","13.82000","11.62000","28","15","20","35","85","27","989"
"101","Langhian","15.97000","13.82000","22","17","13","28","76","27","918"
"102","Burdigalian","20.44000","15.97000","41","14","26","4","85","23","640"
"103","Aquitanian","23.03000","20.44000","9","3","16","9","33","14","148"
"104","Chattian","28.10000","23.03000","7","17","24","5","52","14","176"
"105","Rupelian","33.90000","28.10000","20","19","37","2","78","13","382"
"106","Priabonian","38.00000","33.90000","15","31","68","6","119","23","647"
"107","Bartonian","41.30000","38.00000","14","16","31","23","68","16","358"
"108","Lutetian","47.80000","41.30000","29","15","125","10","176","33","879"
"109","Ypresian","56.00000","47.80000","25","3","102","0","130","8","1926"
"110","Thanetian","59.20000","56.00000","3","0","1","0","4","0","19"
