interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,12,56,0,68,7,242,0.06885
923,Middle Pleistocene,0.781,0.126,8,5,12,4,28,9,122,0.4535
740,Calabrian,1.806,0.781,3,6,8,6,22,10,244,1.2935
741,Gelasian,2.588,1.806,3,5,0,9,12,7,334,2.197
96,Piacenzian,3.6,2.588,6,2,3,8,17,8,155,3.0940000000000003
97,Zanclean,5.333,3.6,8,1,9,2,20,10,131,4.4665
98,Messinian,7.246,5.333,1,3,2,2,6,1,35,6.2895
99,Tortonian,11.62,7.246,5,2,22,0,29,11,85,9.433
100,Serravallian,13.82,11.62,1,4,27,1,33,9,83,12.719999999999999
101,Langhian,15.97,13.82,2,1,6,3,11,5,66,14.895
102,Burdigalian,20.44,15.97,4,0,28,0,32,8,99,18.205000000000002
103,Aquitanian,23.03,20.44,0,1,1,0,2,0,2,21.735
104,Chattian,28.1,23.03,1,1,6,0,8,0,13,25.565
105,Rupelian,33.9,28.1,1,1,43,0,45,2,79,31.0
106,Priabonian,38.0,33.9,0,5,22,1,28,4,115,35.95
107,Bartonian,41.3,38.0,6,11,29,0,46,9,115,39.65
108,Lutetian,47.8,41.3,9,11,46,2,67,14,293,44.55
109,Ypresian,56.0,47.8,13,11,147,0,171,12,2050,51.9
110,Thanetian,59.2,56.0,11,2,31,0,44,0,239,57.6
743,Selandian,61.6,59.2,0,0,2,2,2,0,2,60.400000000000006
111,Danian,66.0,61.6,2,0,35,0,37,2,103,63.8
