interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,0,30,0,30,6,64,0.06885
923,Middle Pleistocene,0.781,0.126,0,1,3,0,4,3,9,0.4535
740,Calabrian,1.806,0.781,0,0,0,1,0,1,1,1.2935
741,Gelasian,2.588,1.806,0,3,8,1,11,4,22,2.197
96,Piacenzian,3.6,2.588,0,0,22,4,22,5,44,3.0940000000000003
97,Zanclean,5.333,3.6,0,0,1,4,1,0,3,4.4665
98,Messinian,7.246,5.333,0,0,13,4,13,1,28,6.2895
99,Tortonian,11.62,7.246,0,0,3,4,3,0,10,9.433
100,Serravallian,13.82,11.62,3,10,151,1,165,12,245,12.719999999999999
101,Langhian,15.97,13.82,0,0,14,11,14,0,15,14.895
102,Burdigalian,20.44,15.97,1,0,218,10,219,15,312,18.205000000000002
103,Aquitanian,23.03,20.44,0,0,2,10,2,2,15,21.735
104,Chattian,28.1,23.03,2,9,90,8,103,6,210,25.565
105,Rupelian,33.9,28.1,17,1,42,0,60,3,120,31.0
106,Priabonian,38.0,33.9,1,3,626,0,630,33,974,35.95
107,Bartonian,41.3,38.0,0,0,1,3,1,1,2,39.65
108,Lutetian,47.8,41.3,0,0,34,3,34,2,100,44.55
109,Ypresian,56.0,47.8,3,0,121,0,124,10,222,51.9
110,Thanetian,59.2,56.0,0,0,8,0,8,0,13,57.6
743,Selandian,61.6,59.2,0,0,18,0,18,1,23,60.400000000000006
111,Danian,66.0,61.6,0,0,1,0,1,0,1,63.8
112,Maastrichtian,72.1,66.0,0,0,2,0,2,0,5,69.05
