"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","108","117","0","225","98","1661"
"923","Middle Pleistocene","0.78100","0.12600","21","11","21","87","101","43","547"
"740","Calabrian","1.80600","0.78100","24","15","18","74","98","47","726"
"741","Gelasian","2.58800","1.80600","6","1","2","83","26","17","92"
"96","Piacenzian","3.60000","2.58800","11","12","15","73","62","37","361"
"97","Zanclean","5.33300","3.60000","24","29","50","61","118","51","528"
"98","Messinian","7.24600","5.33300","3","12","15","87","48","29","373"
"99","Tortonian","11.62000","7.24600","53","44","71","46","195","79","1131"
"100","Serravallian","13.82000","11.62000","34","26","60","56","146","81","933"
"101","Langhian","15.97000","13.82000","22","18","30","60","100","50","680"
"102","Burdigalian","20.44000","15.97000","49","16","77","29","161","65","1147"
"103","Aquitanian","23.03000","20.44000","15","9","10","30","41","20","183"
"104","Chattian","28.10000","23.03000","13","13","39","26","75","45","408"
"105","Rupelian","33.90000","28.10000","26","16","61","13","107","42","577"
"106","Priabonian","38.00000","33.90000","11","39","84","18","136","39","766"
"107","Bartonian","41.30000","38.00000","17","4","24","40","57","34","306"
"108","Lutetian","47.80000","41.30000","20","31","94","24","153","50","927"
"109","Ypresian","56.00000","47.80000","45","19","187","10","254","62","1808"
"110","Thanetian","59.20000","56.00000","18","8","45","11","75","27","360"
"743","Selandian","61.60000","59.20000","0","0","13","19","13","7","52"
"111","Danian","66.00000","61.60000","8","14","70","11","98","31","721"
"112","Maastrichtian","72.10000","66.00000","25","0","525","0","550","134","6879"
