interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs,mid_ma
922,Late Pleistocene,0.126,0.0117,0,152,109,0,261,121,2762,0.06885
923,Middle Pleistocene,0.781,0.126,38,21,19,114,148,80,1539,0.4535
740,Calabrian,1.806,0.781,98,22,79,37,222,116,2332,1.2935
741,Gelasian,2.588,1.806,18,1,6,41,30,33,110,2.197
96,Piacenzian,3.6,2.588,7,17,47,35,88,95,838,3.0940000000000003
97,Zanclean,5.333,3.6,25,22,38,27,98,103,776,4.4665
98,Messinian,7.246,5.333,20,32,32,29,100,69,729,6.2895
99,Tortonian,11.62,7.246,51,51,200,10,309,125,1602,9.433
100,Serravallian,13.82,11.62,33,60,84,28,201,60,1075,12.719999999999999
101,Langhian,15.97,13.82,34,35,96,54,201,55,1321,14.895
102,Burdigalian,20.44,15.97,76,44,168,13,300,87,1856,18.205000000000002
103,Aquitanian,23.03,20.44,17,18,46,40,92,34,301,21.735
104,Chattian,28.1,23.03,38,72,141,20,265,61,1218,25.565
105,Rupelian,33.9,28.1,88,59,224,4,375,61,2001,31.0
106,Priabonian,38.0,33.9,55,18,102,8,180,38,802,35.95
107,Bartonian,41.3,38.0,14,11,64,12,91,30,246,39.65
108,Lutetian,47.8,41.3,21,17,100,2,140,23,676,44.55
109,Ypresian,56.0,47.8,18,6,125,1,150,15,1148,51.9
110,Thanetian,59.2,56.0,7,0,7,0,14,3,58,57.6
