"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","666","544","0","1210","295","12993"
"923","Middle Pleistocene","0.78100","0.12600","190","113","124","476","732","220","5470"
"740","Calabrian","1.80600","0.78100","343","138","265","246","923","344","8689"
"741","Gelasian","2.58800","1.80600","80","40","24","304","237","114","2423"
"96","Piacenzian","3.60000","2.58800","89","101","157","255","477","326","3614"
"97","Zanclean","5.33300","3.60000","208","124","280","148","687","367","4153"
"98","Messinian","7.24600","5.33300","66","141","164","206","442","250","2582"
"99","Tortonian","11.62000","7.24600","272","289","810","75","1423","521","8504"
"100","Serravallian","13.82000","11.62000","161","207","404","203","905","303","5941"
"101","Langhian","15.97000","13.82000","158","138","275","252","723","226","5185"
"102","Burdigalian","20.44000","15.97000","342","138","708","48","1227","328","7191"
"103","Aquitanian","23.03000","20.44000","83","61","173","103","350","114","1262"
"104","Chattian","28.10000","23.03000","103","168","451","61","760","220","3192"
"105","Rupelian","33.90000","28.10000","210","193","660","19","1078","188","5640"
"106","Priabonian","38.00000","33.90000","156","124","419","56","731","156","3847"
"107","Bartonian","41.30000","38.00000","84","132","262","96","499","139","1856"
"108","Lutetian","47.80000","41.30000","163","96","623","65","927","163","3975"
"109","Ypresian","56.00000","47.80000","153","72","905","8","1136","123","12672"
"110","Thanetian","59.20000","56.00000","75","20","188","5","284","49","1696"
"743","Selandian","61.60000","59.20000","9","2","48","16","59","14","110"
"111","Danian","66.00000","61.60000","17","4","331","1","353","21","1846"
"112","Maastrichtian","72.10000","66.00000","5","0","59","0","64","10","613"
