"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","4","54","0","58","5","127"
"105","Rupelian","33.90000","28.10000","1","2","78","3","83","15","152"
"106","Priabonian","38.00000","33.90000","5","8","57","0","70","13","181"
"107","Bartonian","41.30000","38.00000","0","5","14","8","23","5","40"
"108","Lutetian","47.80000","41.30000","9","3","54","4","69","6","126"
"109","Ypresian","56.00000","47.80000","7","5","101","0","113","11","298"
"110","Thanetian","59.20000","56.00000","5","0","22","0","27","4","67"
"743","Selandian","61.60000","59.20000","0","0","6","0","6","3","20"
"111","Danian","66.00000","61.60000","0","0","5","0","5","0","9"
"112","Maastrichtian","72.10000","66.00000","0","0","49","0","49","8","176"
