"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","11","92","0","103","6","210"
"105","Rupelian","33.90000","28.10000","11","1","48","0","60","3","120"
"106","Priabonian","38.00000","33.90000","1","3","626","0","630","33","974"
"107","Bartonian","41.30000","38.00000","0","0","1","3","1","1","2"
"108","Lutetian","47.80000","41.30000","0","0","34","3","34","2","100"
"109","Ypresian","56.00000","47.80000","3","0","121","0","124","10","222"
"110","Thanetian","59.20000","56.00000","0","0","8","0","8","0","13"
"743","Selandian","61.60000","59.20000","0","0","18","0","18","1","23"
"111","Danian","66.00000","61.60000","0","0","1","0","1","0","1"
"112","Maastrichtian","72.10000","66.00000","0","0","2","0","2","0","5"
