"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"104","Chattian","28.10000","23.03000","0","23","52","0","75","45","408"
"105","Rupelian","33.90000","28.10000","21","19","66","2","107","42","577"
"106","Priabonian","38.00000","33.90000","10","39","85","11","136","39","766"
"107","Bartonian","41.30000","38.00000","16","4","25","34","57","34","306"
"108","Lutetian","47.80000","41.30000","20","31","94","18","153","50","927"
"109","Ypresian","56.00000","47.80000","43","19","189","6","254","62","1808"
"110","Thanetian","59.20000","56.00000","16","8","47","9","75","27","360"
"743","Selandian","61.60000","59.20000","0","0","13","17","13","7","52"
"111","Danian","66.00000","61.60000","7","14","71","10","98","31","721"
"112","Maastrichtian","72.10000","66.00000","24","0","526","0","550","134","6879"
