"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","213","359","0","572","44","3568"
"923","Middle Pleistocene","0.78100","0.12600","87","5","18","126","173","15","356"
"740","Calabrian","1.80600","0.78100","48","4","18","83","102","26","215"
"741","Gelasian","2.58800","1.80600","37","1","4","50","47","18","67"
"96","Piacenzian","3.60000","2.58800","6","3","19","45","33","12","72"
"97","Zanclean","5.33300","3.60000","40","12","31","8","86","15","137"
"98","Messinian","7.24600","5.33300","3","2","2","17","8","6","17"
"99","Tortonian","11.62000","7.24600","11","5","35","8","54","16","128"
"100","Serravallian","13.82000","11.62000","6","6","16","7","31","21","104"
"101","Langhian","15.97000","13.82000","9","3","17","4","30","6","106"
"102","Burdigalian","20.44000","15.97000","6","0","26","1","33","7","66"
"103","Aquitanian","23.03000","20.44000","1","0","6","0","7","0","10"
"104","Chattian","28.10000","23.03000","0","1","4","0","5","0","5"
"105","Rupelian","33.90000","28.10000","1","0","19","0","20","1","35"
"106","Priabonian","38.00000","33.90000","0","0","10","0","10","3","23"
"107","Bartonian","41.30000","38.00000","0","0","0","0","0","0","2"
"108","Lutetian","47.80000","41.30000","0","1","14","0","15","2","26"
"109","Ypresian","56.00000","47.80000","1","0","37","0","38","6","124"
"110","Thanetian","59.20000","56.00000","0","0","4","0","4","2","10"
"743","Selandian","61.60000","59.20000","0","0","0","0","0","0","0"
"111","Danian","66.00000","61.60000","0","0","1","0","1","0","4"
"112","Maastrichtian","72.10000","66.00000","0","0","21","0","21","2","89"
