"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","259","213","0","472","72","6428"
"923","Middle Pleistocene","0.78100","0.12600","34","7","18","225","173","36","736"
"740","Calabrian","1.80600","0.78100","190","35","112","42","374","61","3496"
"741","Gelasian","2.58800","1.80600","47","1","12","30","66","17","115"
"96","Piacenzian","3.60000","2.58800","10","9","8","21","31","23","159"
"97","Zanclean","5.33300","3.60000","9","21","44","21","80","43","308"
"98","Messinian","7.24600","5.33300","4","5","14","38","24","14","99"
"99","Tortonian","11.62000","7.24600","32","118","246","11","405","109","3000"
"100","Serravallian","13.82000","11.62000","63","83","124","66","317","99","2702"
"101","Langhian","15.97000","13.82000","95","73","200","54","413","101","3508"
"102","Burdigalian","20.44000","15.97000","109","66","165","18","356","85","2005"
"103","Aquitanian","23.03000","20.44000","47","39","106","37","212","51","827"
"104","Chattian","28.10000","23.03000","44","25","55","32","138","61","504"
"105","Rupelian","33.90000","28.10000","50","88","193","7","337","50","2559"
"106","Priabonian","38.00000","33.90000","84","38","179","11","312","50","1848"
"107","Bartonian","41.30000","38.00000","32","47","56","17","145","51","516"
"108","Lutetian","47.80000","41.30000","61","50","191","3","303","54","1978"
"109","Ypresian","56.00000","47.80000","51","52","432","2","537","49","10890"
"110","Thanetian","59.20000","56.00000","52","10","78","2","141","17","1288"
"743","Selandian","61.60000","59.20000","0","0","0","12","0","0","0"
"111","Danian","66.00000","61.60000","12","4","243","0","259","15","1628"
"112","Maastrichtian","72.10000","66.00000","4","0","15","0","19","4","161"
