"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","2","4","0","6","3","39"
"923","Middle Pleistocene","0.78100","0.12600","0","0","0","2","2","0","3"
"740","Calabrian","1.80600","0.78100","2","0","0","0","2","0","4"
"741","Gelasian","2.58800","1.80600","0","0","0","0","0","0","0"
"96","Piacenzian","3.60000","2.58800","0","0","0","0","0","0","0"
"97","Zanclean","5.33300","3.60000","0","0","0","0","0","0","0"
"98","Messinian","7.24600","5.33300","0","0","0","0","0","0","0"
"99","Tortonian","11.62000","7.24600","0","0","1","0","1","0","2"
"100","Serravallian","13.82000","11.62000","0","0","0","0","0","0","0"
"101","Langhian","15.97000","13.82000","0","0","0","0","0","0","1"
"102","Burdigalian","20.44000","15.97000","0","0","0","0","0","1","6"
"103","Aquitanian","23.03000","20.44000","0","1","0","0","1","0","9"
"104","Chattian","28.10000","23.03000","0","0","0","1","1","2","8"
"105","Rupelian","33.90000","28.10000","1","5","1","0","7","0","56"
"106","Priabonian","38.00000","33.90000","3","0","1","2","6","1","51"
"107","Bartonian","41.30000","38.00000","1","4","0","1","6","2","22"
"108","Lutetian","47.80000","41.30000","2","2","0","3","7","1","137"
"109","Ypresian","56.00000","47.80000","4","2","8","1","15","2","171"
"110","Thanetian","59.20000","56.00000","3","0","0","0","3","1","10"
"743","Selandian","61.60000","59.20000","0","0","0","0","0","0","0"
"111","Danian","66.00000","61.60000","0","1","4","0","5","0","45"
"112","Maastrichtian","72.10000","66.00000","1","0","31","0","32","4","410"
