"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&base_name=Amphibia&count=species&max_ma=73&min_ma=0&cc=NOA"
"Access Time","Wed 2024-02-07 18:04:26 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Amphibia"
"","cc","NOA"
"","min_ma","0"
"","max_ma","73"
"","timerule","major"
"Elapsed Time","0.169"
"Records Found","23"
"Records Returned","23"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"1323","1178","145","535",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","6","0","0","6","8","27"
"922","Late Pleistocene","0.12600","0.01170","3","16","14","3","36","10","203"
"923","Middle Pleistocene","0.78100","0.12600","4","0","0","15","14","6","139"
"740","Calabrian","1.80600","0.78100","5","3","3","10","17","7","102"
"741","Gelasian","2.58800","1.80600","1","0","1","12","5","0","6"
"96","Piacenzian","3.60000","2.58800","0","0","0","12","0","0","0"
"97","Zanclean","5.33300","3.60000","0","0","0","12","0","1","2"
"98","Messinian","7.24600","5.33300","0","0","0","12","0","0","0"
"99","Tortonian","11.62000","7.24600","2","3","8","10","14","5","50"
"100","Serravallian","13.82000","11.62000","4","4","4","9","16","9","44"
"101","Langhian","15.97000","13.82000","11","3","5","2","20","7","84"
"102","Burdigalian","20.44000","15.97000","4","0","6","1","10","4","24"
"103","Aquitanian","23.03000","20.44000","0","0","0","1","1","1","3"
"104","Chattian","28.10000","23.03000","0","0","0","1","0","0","2"
"105","Rupelian","33.90000","28.10000","1","0","2","0","3","5","13"
"106","Priabonian","38.00000","33.90000","0","0","3","0","3","2","7"
"107","Bartonian","41.30000","38.00000","0","0","0","0","0","0","1"
"108","Lutetian","47.80000","41.30000","0","0","2","0","2","1","14"
"109","Ypresian","56.00000","47.80000","0","1","6","0","7","0","22"
"110","Thanetian","59.20000","56.00000","1","0","2","0","3","1","10"
"743","Selandian","61.60000","59.20000","0","0","0","0","0","0","0"
"111","Danian","66.00000","61.60000","0","7","1","0","8","2","67"
"112","Maastrichtian","72.10000","66.00000","7","0","8","0","15","5","358"
