"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.txt?datainfo&rowcount&base_name=Animalia&count=species&max_ma=73&min_ma=0&cc=NOA"
"Access Time","Sun 2024-02-18 05:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Animalia"
"","cc","NOA"
"","min_ma","0"
"","max_ma","73"
"","timerule","major"
"Elapsed Time","10.3"
"Records Found","22"
"Records Returned","22"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"230969","212059","18910","85219",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"922","Late Pleistocene","0.12600","0.01170","0","1744","1549","0","3293","823","25307"
"923","Middle Pleistocene","0.78100","0.12600","401","132","285","1343","1571","349","6419"
"740","Calabrian","1.80600","0.78100","475","252","329","1000","1475","560","10203"
"741","Gelasian","2.58800","1.80600","149","45","148","1103","536","155","2128"
"96","Piacenzian","3.60000","2.58800","283","410","461","865","1549","564","8383"
"97","Zanclean","5.33300","3.60000","424","285","565","851","1742","529","7414"
"98","Messinian","7.24600","5.33300","159","73","75","977","617","351","4846"
"99","Tortonian","11.62000","7.24600","418","296","783","632","1850","634","14206"
"100","Serravallian","13.82000","11.62000","268","292","354","660","1187","482","7635"
"101","Langhian","15.97000","13.82000","198","144","349","754","882","266","5170"
"102","Burdigalian","20.44000","15.97000","511","213","2168","387","3118","670","11613"
"103","Aquitanian","23.03000","20.44000","124","62","151","476","443","138","1596"
"104","Chattian","28.10000","23.03000","286","255","395","252","1052","368","4437"
"105","Rupelian","33.90000","28.10000","283","241","670","224","1313","452","8877"
"106","Priabonian","38.00000","33.90000","278","344","2049","187","2776","432","8815"
"107","Bartonian","41.30000","38.00000","230","401","452","301","1236","520","13781"
"108","Lutetian","47.80000","41.30000","393","258","691","309","1542","568","10843"
"109","Ypresian","56.00000","47.80000","384","124","1400","183","2015","489","19303"
"110","Thanetian","59.20000","56.00000","178","98","278","129","624","305","4442"
"743","Selandian","61.60000","59.20000","46","21","46","181","161","178","1064"
"111","Danian","66.00000","61.60000","145","60","486","57","712","508","6626"
"112","Maastrichtian","72.10000","66.00000","117","0","1096","0","1213","649","28951"
