"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.txt?datainfo&rowcount&base_name=Animalia&count=species"
"Access Time","Sun 2024-02-11 01:44:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Animalia"
"","timerule","major"
"Elapsed Time","62.6"
"Records Found","100"
"Records Returned","100"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"1294990","1180269","114721","538589",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","1734","1254","0","2988","883","15959"
"922","Late Pleistocene","0.12600","0.01170","484","2103","2035","1250","5622","1378","36594"
"923","Middle Pleistocene","0.78100","0.12600","751","399","702","2602","3189","859","15725"
"740","Calabrian","1.80600","0.78100","782","634","663","2219","3049","1258","20373"
"741","Gelasian","2.58800","1.80600","227","197","238","2626","1117","456","5670"
"96","Piacenzian","3.60000","2.58800","549","919","1050","2274","3533","1361","18825"
"97","Zanclean","5.33300","3.60000","1172","834","1545","2021","4712","1517","21844"
"98","Messinian","7.24600","5.33300","278","372","604","2577","1888","1026","11554"
"99","Tortonian","11.62000","7.24600","1095","983","2202","1854","5276","1867","32092"
"100","Serravallian","13.82000","11.62000","716","921","2102","2121","4692","1710","27707"
"101","Langhian","15.97000","13.82000","405","353","723","2637","2115","901","11593"
"102","Burdigalian","20.44000","15.97000","1701","729","4477","1289","7676","2053","34998"
"103","Aquitanian","23.03000","20.44000","385","134","425","1633","1216","583","4092"
"104","Chattian","28.10000","23.03000","730","619","2086","1037","3795","1050","13806"
"105","Rupelian","33.90000","28.10000","875","529","2063","781","3759","1089","19855"
"106","Priabonian","38.00000","33.90000","556","871","8589","754","10326","1304","28096"
"107","Bartonian","41.30000","38.00000","460","700","1108","1165","2673","983","19442"
"108","Lutetian","47.80000","41.30000","1005","510","2672","860","4628","1304","21792"
"109","Ypresian","56.00000","47.80000","938","218","3493","432","4828","1031","29053"
"110","Thanetian","59.20000","56.00000","301","177","644","349","1230","599","6761"
"743","Selandian","61.60000","59.20000","84","57","503","442","708","294","2534"
"111","Danian","66.00000","61.60000","254","208","857","245","1384","986","11601"
"112","Maastrichtian","72.10000","66.00000","156","1010","1574","297","2888","1114","44099"
"113","Campanian","83.60000","72.10000","778","524","2101","529","3701","1019","29436"
"114","Santonian","86.30000","83.60000","252","124","618","801","1247","463","5791"
"115","Coniacian","89.80000","86.30000","231","130","380","694","914","250","3500"
"116","Turonian","93.90000","89.80000","306","278","961","518","1731","479","9918"
"117","Cenomanian","100.50000","93.90000","386","329","4009","410","4864","817","19202"
"118","Albian","113.00000","100.50000","370","309","1674","369","2489","758","14226"
"119","Aptian","125.00000","113.00000","302","295","2855","376","3606","842","13402"
"120","Barremian","129.40000","125.00000","214","141","1752","457","2243","592","7574"
"121","Hauterivian","132.90000","129.40000","70","98","122","528","379","259","2163"
"122","Valanginian","139.80000","132.90000","260","130","641","366","1105","562","11413"
"123","Berriasian","145.00000","139.80000","120","106","535","376","825","351","4502"
"124","Tithonian","152.10000","145.00000","160","402","1436","322","2138","657","12779"
"125","Kimmeridgian","157.30000","152.10000","234","250","590","490","1334","630","9438"
"126","Oxfordian","163.50000","157.30000","427","401","3366","313","4375","719","21679"
"127","Callovian","166.10000","163.50000","172","79","204","542","629","309","5638"
"128","Bathonian","168.30000","166.10000","234","154","1032","387","1581","409","9095"
"129","Bajocian","170.30000","168.30000","224","101","675","317","1081","358","5588"
"130","Aalenian","174.10000","170.30000","144","107","245","274","552","222","3610"
"131","Toarcian","182.70000","174.10000","157","321","1648","224","2213","365","18194"
"132","Pliensbachian","190.80000","182.70000","205","252","860","340","1484","391","19304"
"133","Sinemurian","199.30000","190.80000","371","186","1207","221","1866","385","12439"
"134","Hettangian","201.30000","199.30000","151","14","86","256","308","142","1335"
"135","Rhaetian","208.50000","201.30000","80","411","612","190","1151","339","6918"
"136","Norian","228.00000","208.50000","388","618","2518","213","3623","567","17015"
"137","Carnian","237.00000","228.00000","462","341","1607","369","2606","420","10843"
