"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&base_name=Insecta&count=species&max_ma=73&min_ma=0&cc=NOA"
"Access Time","Wed 2024-02-07 18:04:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Insecta"
"","cc","NOA"
"","min_ma","0"
"","max_ma","73"
"","timerule","major"
"Elapsed Time","3.69"
"Records Found","23"
"Records Returned","23"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"7906","7815","91","1987",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","3","32","0","35","1","45"
"922","Late Pleistocene","0.12600","0.01170","0","36","333","3","369","120","1445"
"923","Middle Pleistocene","0.78100","0.12600","6","0","30","33","37","5","112"
"740","Calabrian","1.80600","0.78100","0","0","7","33","8","4","13"
"741","Gelasian","2.58800","1.80600","28","4","122","5","155","62","571"
"96","Piacenzian","3.60000","2.58800","3","1","1","6","5","1","10"
"97","Zanclean","5.33300","3.60000","0","0","3","7","3","0","4"
"98","Messinian","7.24600","5.33300","6","0","3","1","9","26","44"
"99","Tortonian","11.62000","7.24600","0","0","4","1","4","0","5"
"100","Serravallian","13.82000","11.62000","0","0","0","1","0","0","0"
"101","Langhian","15.97000","13.82000","0","0","38","1","38","9","69"
"102","Burdigalian","20.44000","15.97000","1","0","1150","0","1151","149","1934"
"103","Aquitanian","23.03000","20.44000","0","0","0","0","0","0","0"
"104","Chattian","28.10000","23.03000","0","0","8","0","8","0","12"
"105","Rupelian","33.90000","28.10000","0","1","29","0","30","5","70"
"106","Priabonian","38.00000","33.90000","1","4","1414","0","1419","7","2087"
"107","Bartonian","41.30000","38.00000","0","0","9","4","9","2","24"
"108","Lutetian","47.80000","41.30000","0","15","94","4","109","13","161"
"109","Ypresian","56.00000","47.80000","19","0","514","0","533","34","1150"
"110","Thanetian","59.20000","56.00000","0","0","4","0","4","0","14"
"743","Selandian","61.60000","59.20000","0","0","13","0","13","0","15"
"111","Danian","66.00000","61.60000","0","0","0","0","0","0","0"
"112","Maastrichtian","72.10000","66.00000","0","0","9","0","9","1","30"
