"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&base_name=Reptilia&count=species&max_ma=73&min_ma=0&cc=NOA"
"Access Time","Wed 2024-02-07 18:05:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","species"
"","time_reso","stage"
"","base_name","Reptilia"
"","cc","NOA"
"","min_ma","0"
"","max_ma","73"
"","timerule","major"
"Elapsed Time","1.88"
"Records Found","23"
"Records Returned","23"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"14953","13927","1026","6619",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","219","88","0","307","46","1545"
"922","Late Pleistocene","0.12600","0.01170","98","152","229","121","581","81","2831"
"923","Middle Pleistocene","0.78100","0.12600","96","7","22","177","214","37","505"
"740","Calabrian","1.80600","0.78100","68","6","29","116","159","56","572"
"741","Gelasian","2.58800","1.80600","41","1","5","81","57","23","83"
"96","Piacenzian","3.60000","2.58800","7","4","19","75","37","12","82"
"97","Zanclean","5.33300","3.60000","40","14","32","39","89","23","157"
"98","Messinian","7.24600","5.33300","3","2","2","50","8","9","20"
"99","Tortonian","11.62000","7.24600","26","22","50","26","109","44","366"
"100","Serravallian","13.82000","11.62000","19","15","25","29","73","53","286"
"101","Langhian","15.97000","13.82000","22","9","35","22","82","30","406"
"102","Burdigalian","20.44000","15.97000","18","2","58","13","87","28","269"
"103","Aquitanian","23.03000","20.44000","5","4","9","10","19","4","44"
"104","Chattian","28.10000","23.03000","5","5","8","9","21","8","56"
"105","Rupelian","33.90000","28.10000","8","6","40","6","56","19","211"
"106","Priabonian","38.00000","33.90000","7","5","26","5","38","13","213"
"107","Bartonian","41.30000","38.00000","2","0","1","8","5","8","41"
"108","Lutetian","47.80000","41.30000","1","21","32","7","57","27","450"
"109","Ypresian","56.00000","47.80000","22","13","121","6","158","38","1314"
"110","Thanetian","59.20000","56.00000","13","9","14","6","39","16","210"
"743","Selandian","61.60000","59.20000","0","0","0","15","0","1","1"
"111","Danian","66.00000","61.60000","5","13","35","10","59","26","549"
"112","Maastrichtian","72.10000","66.00000","23","0","199","0","222","75","3716"
